frame,agents,grid_points_total,grid_points_tracked,background_pixels,median_dx_from_start,median_dy_from_start,median_speed_from_start,video_path
0,0,216,216,240000,0.0,0.0,0.0,generated_videos/surface_grid_1_lunar.mp4
1,0,414,216,240000,0.0,0.0,0.0,generated_videos/surface_grid_1_lunar.mp4
2,0,611,216,240000,0.0,0.0,0.0,generated_videos/surface_grid_1_lunar.mp4
3,0,808,216,240000,0.0,0.0,0.0,generated_videos/surface_grid_1_lunar.mp4
4,0,1003,214,240000,0.0,0.0,0.0,generated_videos/surface_grid_1_lunar.mp4
5,0,1199,214,240000,0.0,0.0,0.0,generated_videos/surface_grid_1_lunar.mp4
6,0,1394,214,240000,0.0,0.0,0.0,generated_videos/surface_grid_1_lunar.mp4
7,0,1590,215,240000,0.0,0.0,0.0,generated_videos/surface_grid_1_lunar.mp4
8,0,1782,213,240000,0.0,0.0,0.0,generated_videos/surface_grid_1_lunar.mp4
9,0,1976,214,240000,0.0,0.0,0.0,generated_videos/surface_grid_1_lunar.mp4
10,0,2168,213,240000,0.0,0.0,0.0,generated_videos/surface_grid_1_lunar.mp4
11,0,2362,215,240000,0.0,0.0,0.0,generated_videos/surface_grid_1_lunar.mp4
12,0,2556,216,240000,0.0,0.0,0.0,generated_videos/surface_grid_1_lunar.mp4
13,0,2750,216,240000,0.0,0.0,0.0,generated_videos/surface_grid_1_lunar.mp4
14,0,2944,215,240000,0.0,0.0,0.0,generated_videos/surface_grid_1_lunar.mp4
15,0,3138,215,240000,0.0,0.0,0.0,generated_videos/surface_grid_1_lunar.mp4
16,0,3331,215,240000,0.0,0.0,0.0,generated_videos/surface_grid_1_lunar.mp4
17,0,3524,215,240000,0.0,0.0,0.0,generated_videos/surface_grid_1_lunar.mp4
18,0,3717,215,240000,0.0,0.0,0.0,generated_videos/surface_grid_1_lunar.mp4
19,0,3909,214,240000,0.0,0.0,0.0,generated_videos/surface_grid_1_lunar.mp4
20,0,4101,214,240000,0.0,0.0,0.0,generated_videos/surface_grid_1_lunar.mp4
21,0,4294,215,240000,0.0,0.0,0.0,generated_videos/surface_grid_1_lunar.mp4
22,0,4488,216,240000,0.0,0.0,0.0,generated_videos/surface_grid_1_lunar.mp4
23,0,4681,215,240000,0.0,0.0,0.0,generated_videos/surface_grid_1_lunar.mp4
24,0,4874,216,240000,0.0,0.0,0.0,generated_videos/surface_grid_1_lunar.mp4
25,0,5066,215,240000,0.0,0.0,0.0,generated_videos/surface_grid_1_lunar.mp4
26,0,5257,215,240000,0.0,0.0,0.0,generated_videos/surface_grid_1_lunar.mp4
27,0,5450,216,240000,0.0,0.0,0.0,generated_videos/surface_grid_1_lunar.mp4
28,0,5642,217,240000,0.0,0.0,0.0,generated_videos/surface_grid_1_lunar.mp4
29,0,5834,217,240000,0.0,0.0,0.0,generated_videos/surface_grid_1_lunar.mp4
30,0,6025,217,240000,0.0,0.0,0.0,generated_videos/surface_grid_1_lunar.mp4
31,0,6213,215,240000,0.0,0.0,0.0,generated_videos/surface_grid_1_lunar.mp4
32,0,6402,216,240000,0.0,0.0,0.0,generated_videos/surface_grid_1_lunar.mp4
33,0,6592,216,240000,0.0,0.0,0.0,generated_videos/surface_grid_1_lunar.mp4
34,0,6781,216,240000,0.0,0.0,0.0,generated_videos/surface_grid_1_lunar.mp4
35,0,6971,215,240000,0.0,0.0,0.0,generated_videos/surface_grid_1_lunar.mp4
36,0,7161,216,240000,0.0,0.0,0.0,generated_videos/surface_grid_1_lunar.mp4
37,0,7349,215,240000,0.0,0.0,0.0,generated_videos/surface_grid_1_lunar.mp4
38,0,7539,216,240000,0.0,0.0,0.0,generated_videos/surface_grid_1_lunar.mp4
39,0,7732,218,240000,0.0,0.0,0.0,generated_videos/surface_grid_1_lunar.mp4
40,0,7924,217,240000,0.0,0.0,0.0,generated_videos/surface_grid_1_lunar.mp4
41,0,8114,217,240000,0.0,0.0,0.0,generated_videos/surface_grid_1_lunar.mp4
42,0,8304,216,240000,0.0,0.0,0.0,generated_videos/surface_grid_1_lunar.mp4
43,0,8494,217,240000,0.0,0.0,0.0,generated_videos/surface_grid_1_lunar.mp4
44,0,8685,217,240000,0.0,0.0,0.0,generated_videos/surface_grid_1_lunar.mp4
45,0,8875,216,240000,0.0,0.0,0.0,generated_videos/surface_grid_1_lunar.mp4
46,0,9065,216,240000,0.0,0.0,0.0,generated_videos/surface_grid_1_lunar.mp4
47,0,9257,217,240000,0.0,0.0,0.0,generated_videos/surface_grid_1_lunar.mp4
48,0,9448,217,240000,0.0,0.0,0.0,generated_videos/surface_grid_1_lunar.mp4
49,0,9638,217,240000,0.0,0.0,0.0,generated_videos/surface_grid_1_lunar.mp4
50,0,9829,218,240000,0.0,0.0,0.0,generated_videos/surface_grid_1_lunar.mp4
51,0,10020,219,240000,0.0,0.0,0.0,generated_videos/surface_grid_1_lunar.mp4
52,0,10210,219,240000,0.0,0.0,0.0,generated_videos/surface_grid_1_lunar.mp4
53,0,10402,220,240000,0.0,0.0,0.0,generated_videos/surface_grid_1_lunar.mp4
54,0,10594,220,240000,0.0,0.0,0.0,generated_videos/surface_grid_1_lunar.mp4
55,0,10783,219,240000,0.0,0.0,0.0,generated_videos/surface_grid_1_lunar.mp4
56,0,10974,220,240000,0.0,0.0,0.0,generated_videos/surface_grid_1_lunar.mp4
57,0,11167,221,240000,0.0,0.0,0.0,generated_videos/surface_grid_1_lunar.mp4
58,0,11360,220,240000,0.0,0.0,0.0,generated_videos/surface_grid_1_lunar.mp4
59,0,11550,219,240000,0.0,0.0,0.0,generated_videos/surface_grid_1_lunar.mp4
60,0,11741,220,240000,0.0,0.0,0.0,generated_videos/surface_grid_1_lunar.mp4
61,0,11934,222,240000,0.0,0.0,0.0,generated_videos/surface_grid_1_lunar.mp4
62,0,12125,220,240000,0.0,0.0,0.0,generated_videos/surface_grid_1_lunar.mp4
63,0,12320,222,240000,0.0,0.0,0.0,generated_videos/surface_grid_1_lunar.mp4
64,0,12512,222,240000,0.0,0.0,0.0,generated_videos/surface_grid_1_lunar.mp4
65,0,12706,222,240000,0.0,0.0,0.0,generated_videos/surface_grid_1_lunar.mp4
66,0,12901,223,240000,0.0,0.0,0.0,generated_videos/surface_grid_1_lunar.mp4
67,0,13095,223,240000,0.0,0.0,0.0,generated_videos/surface_grid_1_lunar.mp4
68,0,13288,222,240000,0.0,0.0,0.0,generated_videos/surface_grid_1_lunar.mp4
69,0,13482,222,240000,0.0,0.0,0.0,generated_videos/surface_grid_1_lunar.mp4
70,0,13677,222,240000,0.0,0.0,0.0,generated_videos/surface_grid_1_lunar.mp4
71,0,13871,222,240000,0.0,0.0,0.0,generated_videos/surface_grid_1_lunar.mp4
72,0,14066,222,240000,0.0,0.0,0.0,generated_videos/surface_grid_1_lunar.mp4
73,0,14262,223,240000,0.0,0.0,0.0,generated_videos/surface_grid_1_lunar.mp4
74,0,14457,223,240000,0.0,0.0,0.0,generated_videos/surface_grid_1_lunar.mp4
75,0,14652,223,240000,0.0,0.0,0.0,generated_videos/surface_grid_1_lunar.mp4
76,0,14847,223,240000,0.0,0.0,0.0,generated_videos/surface_grid_1_lunar.mp4
77,0,15042,223,240000,0.0,0.0,0.0,generated_videos/surface_grid_1_lunar.mp4
78,0,15237,223,240000,0.0,0.0,0.0,generated_videos/surface_grid_1_lunar.mp4
79,0,15431,222,240000,0.0,0.0,0.0,generated_videos/surface_grid_1_lunar.mp4
