frame,agents,grid_points_total,grid_points_tracked,background_pixels,median_dx_from_start,median_dy_from_start,median_speed_from_start,video_path
0,0,216,216,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
1,0,349,213,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
2,0,475,221,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
3,0,594,214,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
4,0,678,221,240000,0.0,0.0,13.051019668579102,generated_videos/surface_grid_2_car.mp4
5,0,755,214,240000,0.0,0.0,19.264245986938477,generated_videos/surface_grid_2_car.mp4
6,1,799,56,73779,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
7,1,835,45,67954,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
8,1,860,36,59752,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
9,1,880,33,51018,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
10,1,896,27,38982,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
11,1,909,21,37672,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
12,1,922,21,40200,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
13,1,935,21,37800,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
14,0,1146,219,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
15,1,1159,21,39000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
16,0,1370,219,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
17,0,1500,205,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
18,0,1624,203,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
19,0,1740,197,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
20,0,1861,199,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
21,0,1976,196,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
22,0,2097,195,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
23,0,2220,196,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
24,0,2348,207,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
25,0,2480,211,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
26,0,2614,212,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
27,0,2749,212,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
28,0,2884,218,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
29,0,3023,219,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
30,0,3166,217,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
31,0,3308,215,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
