frame,agents,grid_points_total,grid_points_tracked,background_pixels,median_dx_from_start,median_dy_from_start,median_speed_from_start,video_path
0,6,420,420,428173,0.0,0.0,0.0,generated_videos/surface_grid_3_traffic.mp4
1,6,425,421,428103,-3.0517578125e-05,0.0,0.0007639401592314243,generated_videos/surface_grid_3_traffic.mp4
2,6,427,422,428117,-6.103515625e-05,0.0,0.0021066060289740562,generated_videos/surface_grid_3_traffic.mp4
3,6,437,429,428365,-0.0013294219970703125,-0.0006103515625,0.04885430634021759,generated_videos/surface_grid_3_traffic.mp4
4,5,442,433,429142,-0.01336669921875,-0.0076141357421875,0.09695397317409515,generated_videos/surface_grid_3_traffic.mp4
5,6,443,431,426184,-0.02093505859375,-0.00446319580078125,0.1120724231004715,generated_videos/surface_grid_3_traffic.mp4
6,6,447,433,426118,-0.02386474609375,-0.0041351318359375,0.11392492800951004,generated_videos/surface_grid_3_traffic.mp4
7,6,450,435,426660,-0.018035888671875,-0.005448341369628906,0.12358415126800537,generated_videos/surface_grid_3_traffic.mp4
8,6,453,435,426790,-0.0223388671875,-0.0084075927734375,0.1195671409368515,generated_videos/surface_grid_3_traffic.mp4
9,6,457,437,426717,-0.0179443359375,-0.0106201171875,0.12641654908657074,generated_videos/surface_grid_3_traffic.mp4
10,7,465,443,424673,-0.02032470703125,-0.006195068359375,0.12419694662094116,generated_videos/surface_grid_3_traffic.mp4
11,8,466,443,424487,-0.026580810546875,-0.012365341186523438,0.12951381504535675,generated_videos/surface_grid_3_traffic.mp4
12,7,468,445,423775,-0.0294189453125,-0.0132904052734375,0.1326618194580078,generated_videos/surface_grid_3_traffic.mp4
13,8,473,447,422728,-0.03173828125,-0.01513671875,0.14604435861110687,generated_videos/surface_grid_3_traffic.mp4
14,7,475,446,422573,-0.02691650390625,-0.01488494873046875,0.13757440447807312,generated_videos/surface_grid_3_traffic.mp4
15,7,478,447,422590,-0.0218505859375,-0.01270294189453125,0.1385340690612793,generated_videos/surface_grid_3_traffic.mp4
16,7,482,450,422877,-0.02033233642578125,-0.009555816650390625,0.13726943731307983,generated_videos/surface_grid_3_traffic.mp4
17,8,484,451,421397,-0.0235595703125,-0.01671600341796875,0.1474016010761261,generated_videos/surface_grid_3_traffic.mp4
18,8,486,451,421507,-0.02398681640625,-0.016876220703125,0.14713013172149658,generated_videos/surface_grid_3_traffic.mp4
19,7,488,451,422156,-0.03228759765625,-0.0158843994140625,0.1564343273639679,generated_videos/surface_grid_3_traffic.mp4
20,7,492,452,422323,-0.02272796630859375,-0.013523101806640625,0.15754468739032745,generated_videos/surface_grid_3_traffic.mp4
21,7,497,456,422380,-0.028472900390625,-0.01318359375,0.16316528618335724,generated_videos/surface_grid_3_traffic.mp4
22,8,498,451,420443,-0.027099609375,-0.016754150390625,0.16239550709724426,generated_videos/surface_grid_3_traffic.mp4
23,8,501,443,421091,-0.021392822265625,-0.010498046875,0.15801692008972168,generated_videos/surface_grid_3_traffic.mp4
24,8,503,442,421964,-0.0263671875,-0.01424407958984375,0.16142387688159943,generated_videos/surface_grid_3_traffic.mp4
25,7,504,441,424664,-0.0230255126953125,-0.016021728515625,0.15899665653705597,generated_videos/surface_grid_3_traffic.mp4
26,8,504,441,424712,-0.02964019775390625,-0.016265869140625,0.1584480255842209,generated_videos/surface_grid_3_traffic.mp4
27,8,505,439,422594,-0.031646728515625,-0.01800537109375,0.1570757031440735,generated_videos/surface_grid_3_traffic.mp4
28,9,509,443,422868,-0.02755451202392578,-0.017333984375,0.15561680495738983,generated_videos/surface_grid_3_traffic.mp4
29,7,510,444,423303,-0.027374267578125,-0.017681121826171875,0.15759336948394775,generated_videos/surface_grid_3_traffic.mp4
30,9,511,445,423455,-0.02423095703125,-0.01679229736328125,0.15076974034309387,generated_videos/surface_grid_3_traffic.mp4
31,6,511,445,425448,-0.03155517578125,-0.016510009765625,0.1608947217464447,generated_videos/surface_grid_3_traffic.mp4
32,6,513,446,425628,-0.0261688232421875,-0.01842498779296875,0.1597769856452942,generated_videos/surface_grid_3_traffic.mp4
33,9,514,446,424425,-0.02994537353515625,-0.0220794677734375,0.16149890422821045,generated_videos/surface_grid_3_traffic.mp4
34,9,516,440,415724,-0.03460693359375,-0.020843505859375,0.15918812155723572,generated_videos/surface_grid_3_traffic.mp4
35,8,522,446,424395,-0.0279693603515625,-0.021148681640625,0.14837346971035004,generated_videos/surface_grid_3_traffic.mp4
36,7,526,449,424842,-0.028656005859375,-0.01778411865234375,0.15798857808113098,generated_videos/surface_grid_3_traffic.mp4
37,8,528,450,424913,-0.0313873291015625,-0.019073486328125,0.1633642613887787,generated_videos/surface_grid_3_traffic.mp4
38,8,530,451,424965,-0.03094482421875,-0.01849365234375,0.1668809950351715,generated_videos/surface_grid_3_traffic.mp4
39,10,533,446,421311,-0.027618408203125,-0.0157623291015625,0.16373807191848755,generated_videos/surface_grid_3_traffic.mp4
40,9,533,446,420618,-0.029796600341796875,-0.016765117645263672,0.16372478008270264,generated_videos/surface_grid_3_traffic.mp4
41,10,536,448,420315,-0.02751922607421875,-0.0152587890625,0.17014557123184204,generated_videos/surface_grid_3_traffic.mp4
42,9,537,449,419561,-0.0324554443359375,-0.015350341796875,0.16754044592380524,generated_videos/surface_grid_3_traffic.mp4
43,9,539,449,419500,-0.033782958984375,-0.01507568359375,0.1753290444612503,generated_videos/surface_grid_3_traffic.mp4
44,8,541,449,419723,-0.03753662109375,-0.012451171875,0.16701102256774902,generated_videos/surface_grid_3_traffic.mp4
45,9,542,448,419169,-0.0230255126953125,-0.018268585205078125,0.18055328726768494,generated_videos/surface_grid_3_traffic.mp4
46,10,545,450,418737,-0.02703857421875,-0.01801919937133789,0.1717800498008728,generated_videos/surface_grid_3_traffic.mp4
47,8,548,452,421075,-0.032196044921875,-0.019927978515625,0.17596054077148438,generated_videos/surface_grid_3_traffic.mp4
48,8,551,455,420578,-0.02532958984375,-0.020965576171875,0.17810915410518646,generated_videos/surface_grid_3_traffic.mp4
49,8,552,453,420099,-0.026458740234375,-0.0211181640625,0.17666296660900116,generated_videos/surface_grid_3_traffic.mp4
50,8,557,458,420721,-0.0257110595703125,-0.01904296875,0.17291361093521118,generated_videos/surface_grid_3_traffic.mp4
