frame,agents,grid_points_total,grid_points_tracked,background_pixels,median_dx_from_start,median_dy_from_start,median_speed_from_start,video_path
0,3,687,687,725016,0.0,0.0,0.0,generated_videos/surface_grid_4_youtube.mp4
1,3,852,687,724820,-0.00091552734375,0.0029296875,0.03112027794122696,generated_videos/surface_grid_4_youtube.mp4
2,4,1026,685,723366,-0.0006103515625,0.00299072265625,0.037368785589933395,generated_videos/surface_grid_4_youtube.mp4
3,4,1194,685,723028,-0.0007171630859375,0.00592041015625,0.04445681348443031,generated_videos/surface_grid_4_youtube.mp4
4,4,1364,685,723126,-0.00091552734375,0.016082763671875,0.07933540642261505,generated_videos/surface_grid_4_youtube.mp4
5,3,1534,687,725696,-0.006011962890625,0.0880126953125,0.14743201434612274,generated_videos/surface_grid_4_youtube.mp4
6,3,1707,687,725144,-0.0028076171875,0.1275482177734375,0.18680521845817566,generated_videos/surface_grid_4_youtube.mp4
7,3,1873,687,725142,-0.0014181137084960938,0.139678955078125,0.2040352076292038,generated_videos/surface_grid_4_youtube.mp4
8,4,2041,686,723866,-0.00384521484375,0.1395583152770996,0.2133139669895172,generated_videos/surface_grid_4_youtube.mp4
9,4,2206,686,724064,0.0,0.2141571044921875,0.26127469539642334,generated_videos/surface_grid_4_youtube.mp4
10,3,2381,687,725476,0.0,0.22216796875,0.27184972167015076,generated_videos/surface_grid_4_youtube.mp4
11,3,2550,688,725450,0.0,0.21805572509765625,0.27323904633522034,generated_videos/surface_grid_4_youtube.mp4
12,3,2718,688,725530,0.0,0.2290191650390625,0.27862271666526794,generated_videos/surface_grid_4_youtube.mp4
13,3,2884,688,725672,0.0,0.2712860107421875,0.3182777762413025,generated_videos/surface_grid_4_youtube.mp4
14,3,3056,688,725578,0.0,0.29595184326171875,0.3448728322982788,generated_videos/surface_grid_4_youtube.mp4
15,3,3226,689,725570,0.0,0.29596710205078125,0.34150809049606323,generated_videos/surface_grid_4_youtube.mp4
16,3,3396,689,725748,0.0,0.34979248046875,0.3881523311138153,generated_videos/surface_grid_4_youtube.mp4
17,3,3561,690,725736,0.0,0.36551666259765625,0.40328097343444824,generated_videos/surface_grid_4_youtube.mp4
18,4,3730,690,724712,0.0,0.36518096923828125,0.3995264768600464,generated_videos/surface_grid_4_youtube.mp4
19,4,3894,690,724738,0.0,0.3723011016845703,0.41452518105506897,generated_videos/surface_grid_4_youtube.mp4
20,3,4060,691,725756,0.0,0.36968994140625,0.41284868121147156,generated_videos/surface_grid_4_youtube.mp4
