frame,agents,grid_points_total,grid_points_tracked,background_pixels,median_dx_from_start,median_dy_from_start,median_speed_from_start,video_path
0,15,706,706,742721,0.0,0.0,0.0,generated_videos/surface_grid_5_hard.mp4
1,17,752,703,738033,0.0,0.0,0.0005505740991793573,generated_videos/surface_grid_5_hard.mp4
2,14,803,706,739557,0.0,0.0,0.0006562937051057816,generated_videos/surface_grid_5_hard.mp4
3,14,855,704,738117,0.0,0.0,0.0007972612511366606,generated_videos/surface_grid_5_hard.mp4
4,20,913,689,714668,0.0,0.0,0.0007653769571334124,generated_videos/surface_grid_5_hard.mp4
5,22,964,680,709927,3.4332275390625e-05,0.0,0.002305717673152685,generated_videos/surface_grid_5_hard.mp4
6,18,1013,679,711408,6.103515625e-05,0.0,0.0028790226206183434,generated_videos/surface_grid_5_hard.mp4
7,17,1080,698,738283,6.103515625e-05,0.0,0.002778859343379736,generated_videos/surface_grid_5_hard.mp4
8,15,1134,705,743265,3.0517578125e-05,0.0,0.0030800935346633196,generated_videos/surface_grid_5_hard.mp4
9,15,1187,711,748157,9.918212890625e-05,0.0,0.009404812939465046,generated_videos/surface_grid_5_hard.mp4
10,14,1237,715,749063,-3.814697265625e-05,0.0003662109375,0.04462634027004242,generated_videos/surface_grid_5_hard.mp4
11,15,1285,691,717975,-0.0006103515625,-0.00030517578125,0.07296168059110641,generated_videos/surface_grid_5_hard.mp4
12,15,1351,711,745363,-0.0001220703125,-0.00408935546875,0.09262042492628098,generated_videos/surface_grid_5_hard.mp4
13,13,1401,712,743755,-0.06992149353027344,-0.0099945068359375,0.09633037447929382,generated_videos/surface_grid_5_hard.mp4
14,19,1448,710,741575,-0.083892822265625,-0.0110626220703125,0.11060205101966858,generated_videos/surface_grid_5_hard.mp4
15,16,1494,710,740309,-0.091644287109375,-0.011871337890625,0.12031909823417664,generated_videos/surface_grid_5_hard.mp4
16,16,1546,719,742633,-0.10693359375,-0.0130615234375,0.14797036349773407,generated_videos/surface_grid_5_hard.mp4
17,18,1592,715,738313,-0.1195068359375,-0.01531982421875,0.1495789736509323,generated_videos/surface_grid_5_hard.mp4
18,16,1636,712,736575,-0.1274871826171875,-0.0156402587890625,0.16310718655586243,generated_videos/surface_grid_5_hard.mp4
19,16,1685,710,732805,-0.13446044921875,-0.016307830810546875,0.16560523211956024,generated_videos/surface_grid_5_hard.mp4
20,14,1735,711,735867,-0.137939453125,-0.016143798828125,0.16715142130851746,generated_videos/surface_grid_5_hard.mp4
21,14,1782,712,737345,-0.15167236328125,-0.018005847930908203,0.17770791053771973,generated_videos/surface_grid_5_hard.mp4
22,15,1830,710,734687,-0.1569366455078125,-0.017802715301513672,0.18269318342208862,generated_videos/surface_grid_5_hard.mp4
23,16,1873,707,733439,-0.1611328125,-0.018402099609375,0.18467286229133606,generated_videos/surface_grid_5_hard.mp4
24,19,1922,706,729325,-0.1644287109375,-0.01792144775390625,0.18831166625022888,generated_videos/surface_grid_5_hard.mp4
25,14,1972,709,735267,-0.16827392578125,-0.0186309814453125,0.19271986186504364,generated_videos/surface_grid_5_hard.mp4
26,17,2017,705,734743,-0.17144775390625,-0.019775390625,0.1935199350118637,generated_videos/surface_grid_5_hard.mp4
27,16,2064,706,732691,-0.1718006134033203,-0.0200653076171875,0.19360363483428955,generated_videos/surface_grid_5_hard.mp4
